2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Запуск Signal Scalper для символов из watchlist: ['SOLUSDT']
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | 🔍 Проверка слотов для signal_scalper_SOLUSDT: найдено 0 стратегий того же типа
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ Есть свободный слот: 0/5
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ Есть свободный слот для signal_scalper_SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | 🔀 Запуск Multi-Account Coordinator для SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Инициализирована стратегия signal_scalper для SOLUSDT (ID: 1143354705_SOLUSDT_bot1_20251019_235455)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ Стратегия для Бота 1 (SOLUSDT) создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Инициализирована стратегия signal_scalper для SOLUSDT (ID: 1143354705_SOLUSDT_bot2_20251019_235455)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ Стратегия для Бота 2 (SOLUSDT) создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Инициализирована стратегия signal_scalper для SOLUSDT (ID: 1143354705_SOLUSDT_bot3_20251019_235455)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ Стратегия для Бота 3 (SOLUSDT) создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | Coordinator          | 🔀 MultiAccountCoordinator создан для SOLUSDT: 3 бота готовы
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | Coordinator          | 🟢 Запуск Coordinator для SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | Coordinator          | 🟢 АКТИВАЦИЯ БОТА 1 для SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Запуск стратегии signal_scalper...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Конфигурация стратегии signal_scalper загружена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | SpikeDetector        | 📡 SpikeDetector инициализирован для SOLUSDT: порог=0.10%, lookback=50
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | SignalScalper        | 📡 SpikeDetector инициализирован для SOLUSDT (анализ: 3m/5m/10m)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключение к приватному WebSocket: wss://stream-demo.bybit.com/v5/private
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | strategies.base_strategy | Стратегия signal_scalper успешно запущена для SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _handle_new_candle на new_candle (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | Coordinator          | 👁️ Запущен мониторинг для SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | cache.redis_manager  | Пользовательская сессия создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | 🔀 Multi-Account Coordinator для SOLUSDT запущен успешно
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Стратегия Flash Drop Catcher отключена в настройках.
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | cache.redis_manager  | Пользовательская сессия создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Пользовательская сессия запущена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | Пользовательская сессия создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | cache.redis_manager  | Пользовательская сессия создана
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | Статус авто-торговли установлен в 'active' в Redis.
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | 🚀 Запуск стратегий для 1 символов из watchlist: ['SOLUSDT']
2025-10-19 23:54:55 MSK | WARNING  | User:1143354705 | core.user_session    | Стратегия signal_scalper_SOLUSDT уже запущена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | ✅ Стратегия для SOLUSDT успешно запущена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | Получено событие запуска сессии
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Аутентификация отправлена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подписка на приватные каналы отправлена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключен к приватному WebSocket
2025-10-19 23:55:00 MSK | INFO     | User:1143354705 | SignalScalper        | Анализ для SOLUSDT: Сигнал=SHORT, Цена=189.4100, Индикаторы={'ema_short': 189.17637398508762, 'ema_long': 189.45106754853506, 'rsi': 54.81199930128646, 'rsi_neutral': True}
2025-10-19 23:55:00 MSK | INFO     | User:1143354705 | SignalScalper        | Сигнал SHORT подтвержден! (1/1)
2025-10-19 23:55:00 MSK | INFO     | User:1143354705 | SpikeDetector        | ⏸️ SpikeDetector (SOLUSDT): Недостаточно данных (0/6 всплесков), накапливаю историю...
2025-10-19 23:55:00 MSK | INFO     | User:1143354705 | SignalScalper        | ⏸️ Spike Detector (1 свечей, 0/0 всплесков за 10мин): ⏸️ Недостаточно данных для анализа (0/6 всплесков)
2025-10-20 00:00:00 MSK | INFO     | User:1143354705 | SignalScalper        | Анализ для SOLUSDT: Сигнал=SHORT, Цена=189.5400, Индикаторы={'ema_short': 189.22015698301482, 'ema_long': 189.46172199347166, 'rsi': 57.532070508135405, 'rsi_neutral': True}
2025-10-20 00:00:00 MSK | INFO     | User:1143354705 | SignalScalper        | Сигнал SHORT подтвержден! (2/1)
2025-10-20 00:00:00 MSK | INFO     | User:1143354705 | SpikeDetector        | ⏸️ SpikeDetector (SOLUSDT): Недостаточно данных (1/6 всплесков), накапливаю историю...
2025-10-20 00:00:00 MSK | INFO     | User:1143354705 | SignalScalper        | ⏸️ Spike Detector (6 свечей, 1/1 всплесков за 10мин): ⏸️ Недостаточно данных для анализа (1/6 всплесков)
2025-10-20 00:05:00 MSK | INFO     | User:1143354705 | SignalScalper        | Анализ для SOLUSDT: Сигнал=SHORT, Цена=189.4000, Индикаторы={'ema_short': 189.22823728249017, 'ema_long': 189.45833788355242, 'rsi': 53.70263635492011, 'rsi_neutral': True}
2025-10-20 00:05:00 MSK | INFO     | User:1143354705 | SignalScalper        | Сигнал SHORT подтвержден! (3/1)
2025-10-20 00:05:00 MSK | INFO     | User:1143354705 | SpikeDetector        | ⏸️ SpikeDetector (SOLUSDT): Недостаточно данных (1/6 всплесков), накапливаю историю...
2025-10-20 00:05:00 MSK | INFO     | User:1143354705 | SignalScalper        | ⏸️ Spike Detector (11 свечей, 1/1 всплесков за 10мин): ⏸️ Недостаточно данных для анализа (1/6 всплесков)
2025-10-20 00:06:38 MSK | INFO     | User:1143354705 | websocket.websocket_manager | WebSocket переподключение: no close frame received or sent
